ts,event,id_fixture,fields
2026-07-15 22:55:52,ok id,1591328396,9
2026-07-15 22:57:02,start id_fixture,1591328400,
2026-07-15 22:57:03,ok id,1591328400,9
2026-07-15 22:57:17,start id_fixture,1591538105,
2026-07-15 22:57:18,ok id,1591538105,9
2026-07-15 22:57:50,start id_fixture,1591328398,
2026-07-15 22:57:51,ok id,1591328398,9
2026-07-15 22:58:04,start id_fixture,1591328399,
2026-07-15 22:58:05,ok id,1591328399,9
2026-07-15 22:58:16,start id_fixture,1591289398,
2026-07-15 22:58:17,ok id,1591289398,9
2026-07-15 22:58:31,start id_fixture,1591289399,
2026-07-15 22:58:32,ok id,1591289399,9
2026-07-15 23:01:17,start id_fixture,1591328397,
2026-07-15 23:01:18,ok id,1591328397,9
2026-07-15 23:03:47,start id_fixture,1591289397,
2026-07-15 23:03:49,ok id,1591289397,9
2026-07-15 23:04:04,start id_fixture,1591289395,
2026-07-15 23:04:05,ok id,1591289395,9
2026-07-15 23:05:13,start id_fixture,1591733062,
2026-07-15 23:05:14,ok id,1591733062,9
2026-07-15 23:06:10,start id_fixture,1591733065,
2026-07-15 23:06:11,ok id,1591733065,9
2026-07-15 23:06:28,start id_fixture,1591733072,
2026-07-15 23:06:29,ok id,1591733072,9
2026-07-15 23:06:39,start id_fixture,1591733068,
2026-07-15 23:06:40,ok id,1591733068,9
2026-07-15 23:07:18,start id_fixture,1591733063,
2026-07-15 23:07:18,ok id,1591733063,9
2026-07-15 23:07:43,start id_fixture,1591733067,
2026-07-15 23:07:44,ok id,1591733067,9
2026-07-15 23:08:18,start id_fixture,1591733071,
2026-07-15 23:08:19,ok id,1591733071,9
2026-07-15 23:08:30,start id_fixture,21075183,
2026-07-15 23:08:31,userbet error id,21075183,
2026-07-15 23:08:46,start id_fixture,1591733069,
2026-07-15 23:08:47,ok id,1591733069,9
2026-07-15 23:09:11,start id_fixture,1591733064,
2026-07-15 23:09:12,ok id,1591733064,9
2026-07-15 23:09:34,start id_fixture,1591733070,
2026-07-15 23:09:35,ok id,1591733070,9
2026-07-15 23:11:12,start id_fixture,1593222074,
2026-07-15 23:11:13,ok id,1593222074,9
2026-07-15 23:11:42,start id_fixture,1593222075,
2026-07-15 23:11:43,ok id,1593222075,9
2026-07-15 23:11:58,start id_fixture,1593222051,
2026-07-15 23:11:59,ok id,1593222051,9
2026-07-15 23:12:15,start id_fixture,1593222060,
2026-07-15 23:12:16,ok id,1593222060,9
2026-07-15 23:12:56,start id_fixture,1593222064,
2026-07-15 23:12:57,ok id,1593222064,9
2026-07-15 23:13:25,start id_fixture,1593222082,
2026-07-15 23:13:25,ok id,1593222082,9
2026-07-15 23:13:44,start id_fixture,1593222056,
2026-07-15 23:13:45,ok id,1593222056,9
2026-07-15 23:14:12,start id_fixture,1593222066,
2026-07-15 23:14:13,ok id,1593222066,9
2026-07-15 23:14:28,start id_fixture,1593222057,
2026-07-15 23:14:29,ok id,1593222057,9
2026-07-15 23:15:12,start id_fixture,1595460299,
2026-07-15 23:15:13,ok id,1595460299,9
2026-07-15 23:15:59,start id_fixture,1595460296,
2026-07-15 23:16:00,ok id,1595460296,9
2026-07-15 23:16:18,start id_fixture,1595460297,
2026-07-15 23:16:19,ok id,1595460297,9
2026-07-15 23:16:30,start id_fixture,1595460294,
2026-07-15 23:16:31,ok id,1595460294,9
2026-07-15 23:17:23,start id_fixture,1595460298,
2026-07-15 23:17:24,ok id,1595460298,9
2026-07-15 23:17:42,start id_fixture,1595460305,
2026-07-15 23:17:44,ok id,1595460305,9
2026-07-15 23:17:59,start id_fixture,1595460306,
2026-07-15 23:18:00,ok id,1595460306,9
2026-07-15 23:18:14,start id_fixture,1595460304,
2026-07-15 23:18:16,ok id,1595460304,9
2026-07-15 23:18:29,start id_fixture,1595460292,
2026-07-15 23:18:30,ok id,1595460292,9
2026-07-15 23:19:08,start id_fixture,1595525850,
2026-07-15 23:19:10,ok id,1595525850,9
2026-07-15 23:19:47,start id_fixture,1595525851,
2026-07-15 23:19:48,ok id,1595525851,9
2026-07-15 23:20:02,start id_fixture,1595525813,
2026-07-15 23:20:03,ok id,1595525813,9
