n,mae_ah,mae_tot,n_ah_ge_05,n_tot_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,n_1x2,league,season,bucket,arm,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg
18,0.1527777777777778,0.16666666666666666,2,1,2,0.1111111111111111,2,0.1111111111111111,0.2974281081316695,0.16437127513159894,1.0790550615831767,18,La Liga,2024-25,GW5-6,A_FULL,17,-0.029411764705882353,0.17647058823529413,0.35294117647058826,17,-0.014705882352941176,0.0,0.058823529411764705
18,0.18055555555555555,0.16666666666666666,1,1,2,0.1111111111111111,1,0.05555555555555555,0.3982555128537964,0.2841314961996795,0.44994610226096377,18,La Liga,2024-25,GW5-6,B,,,,,,,,
18,0.1527777777777778,0.18055555555555555,2,1,2,0.1111111111111111,2,0.1111111111111111,0.3084592741331963,0.16831050728040414,1.2168945957312867,18,La Liga,2024-25,GW5-6,C,,,,,,,,
18,0.18055555555555555,0.18055555555555555,1,1,2,0.1111111111111111,1,0.05555555555555555,0.40248515408200475,0.2852878727372474,0.5300654665036534,18,La Liga,2024-25,GW5-6,D_BASE,,,,,,,,
17,,,,,,,,,,,,,La Liga,2024-25,GW5-6,HARM,17,-0.029411764705882353,0.17647058823529413,0.35294117647058826,17,-0.014705882352941176,0.0,0.058823529411764705
21,0.11904761904761904,0.14285714285714285,0,1,2,0.09523809523809523,0,0.0,0.2069009181613406,0.20465692973204352,0.4819471301305163,21,La Liga,2024-25,GW7-8,A_FULL,21,0.03571428571428571,0.2857142857142857,0.14285714285714285,21,-0.023809523809523808,0.047619047619047616,0.14285714285714285
21,0.08333333333333333,0.14285714285714285,0,1,0,0.0,0,0.0,0.22565957928093258,0.2633028082495217,0.7527536356670799,21,La Liga,2024-25,GW7-8,B,,,,,,,,
21,0.11904761904761904,0.16666666666666666,0,2,2,0.09523809523809523,0,0.0,0.22135983406294488,0.20284472725015962,0.5113646635006681,21,La Liga,2024-25,GW7-8,C,,,,,,,,
21,0.08333333333333333,0.16666666666666666,0,2,0,0.0,0,0.0,0.22727804095771265,0.26575299717201095,0.6542581601001428,21,La Liga,2024-25,GW7-8,D_BASE,,,,,,,,
21,,,,,,,,,,,,,La Liga,2024-25,GW7-8,HARM,21,0.03571428571428571,0.2857142857142857,0.14285714285714285,21,-0.023809523809523808,0.047619047619047616,0.14285714285714285
20,0.25,0.3,5,5,1,0.05,0,0.0,0.5810238610586248,0.49826007715839593,1.278009508523184,20,La Liga,2025-26,GW1-2,A_FULL,20,0.025,0.4,0.3,20,0.075,0.55,0.2
20,0.225,0.3,5,5,2,0.1,2,0.1,0.5216567465560864,0.4364904769303344,1.0253957521752386,20,La Liga,2025-26,GW1-2,B,,,,,,,,
20,0.25,0.225,5,4,1,0.05,0,0.0,0.5007405578044235,0.46892679233949774,1.424801254802883,20,La Liga,2025-26,GW1-2,C,,,,,,,,
20,0.25,0.225,7,4,2,0.1,2,0.1,0.4801906923384662,0.39847402355493505,1.2569039573358394,20,La Liga,2025-26,GW1-2,D_BASE,,,,,,,,
20,,,,,,,,,,,,,La Liga,2025-26,GW1-2,HARM,20,0.025,0.4,0.3,20,0.075,0.55,0.2
19,0.21052631578947367,0.19736842105263158,4,2,2,0.10526315789473684,3,0.15789473684210525,0.268151679736524,0.3451045315879776,1.4980734287147206,19,La Liga,2025-26,GW3-4,A_FULL,19,-0.05263157894736842,0.15789473684210525,0.3684210526315789,19,0.013157894736842105,0.2631578947368421,0.21052631578947367
19,0.2631578947368421,0.19736842105263158,2,2,5,0.2631578947368421,3,0.15789473684210525,0.46735931564125327,0.3496359006053855,0.8205490489517088,19,La Liga,2025-26,GW3-4,B,,,,,,,,
19,0.2236842105263158,0.18421052631578946,4,3,2,0.10526315789473684,3,0.15789473684210525,0.32156300868159693,0.33322499252345433,2.175857891628683,19,La Liga,2025-26,GW3-4,C,,,,,,,,
19,0.2631578947368421,0.18421052631578946,2,3,5,0.2631578947368421,3,0.15789473684210525,0.44485998754509753,0.3378758596702295,0.794114761233875,19,La Liga,2025-26,GW3-4,D_BASE,,,,,,,,
19,,,,,,,,,,,,,La Liga,2025-26,GW3-4,HARM,19,-0.05263157894736842,0.15789473684210525,0.3684210526315789,19,0.013157894736842105,0.2631578947368421,0.21052631578947367
21,0.10714285714285714,0.11904761904761904,1,2,0,0.0,0,0.0,0.5618765150944859,0.2655735921677205,0.6636894727082607,21,La Liga,2025-26,GW5-6,A_FULL,21,-0.07142857142857142,0.14285714285714285,0.3333333333333333,21,-0.08333333333333333,0.047619047619047616,0.38095238095238093
21,0.17857142857142858,0.11904761904761904,3,2,2,0.09523809523809523,2,0.09523809523809523,0.46151020779044805,0.28097389950063084,0.692029545951621,21,La Liga,2025-26,GW5-6,B,,,,,,,,
